aspect,worker,time,rating
your knowledge skills and access to information,AW8132561106,1482545562623,83
your mental health,AW8132561106,1482545562683,80
your physical fitness,AW8132561106,1482545562747,64
your physical safety and security,AW8132561106,1482545562860,89
your sense of connection with other people,AW8132561106,1482545562933,70
how happy you feel,AW3914454237,1502495375360,61
how much you like your home house or apartment,AW3914454237,1502495375479,63
how satisfied you are with your life,AW3914454237,1502495375557,52
the extent to which you feel the things you do in your life are worthwhile,AW3914454237,1502495375627,64
the quality of your sleep,AW3914454237,1502495375722,63
you being a good moral person and living according to your personal values,AW3914454237,1502495375828,76
you being able to spend enough time with the ones you love,AW3914454237,1502495375939,70
you being able to support your family financially,AW3914454237,1502495376035,39
you feeling that your work has value,AW3914454237,1502495376152,60
you not feeling anxious,AW3914454237,1502495376217,59
your emotional stability,AW3914454237,1502495376286,67
your health,AW3914454237,1502495376384,68
your knowledge skills and access to information,AW3914454237,1502495376499,77
your mental health,AW3914454237,1502495376562,75
your physical fitness,AW3914454237,1502495376651,51
your physical safety and security,AW3914454237,1502495376758,76
your sense of connection with other people,AW3914454237,1502495376874,56
how happy you feel,AW35167700734,1502743101440,28
how much you like your home house or apartment,AW35167700734,1502743101552,25
how satisfied you are with your life,AW35167700734,1502743101653,25
the extent to which you feel the things you do in your life are worthwhile,AW35167700734,1502743101768,32
the quality of your sleep,AW35167700734,1502743101860,27
you being a good moral person and living according to your personal values,AW35167700734,1502743101938,47
you being able to spend enough time with the ones you love,AW35167700734,1502743102015,29
you being able to support your family financially,AW35167700734,1502743102118,15
you feeling that your work has value,AW35167700734,1502743102193,27
you not feeling anxious,AW35167700734,1502743102289,9
your emotional stability,AW35167700734,1502743102397,31
your health,AW35167700734,1502743102507,36
your knowledge skills and access to information,AW35167700734,1502743102576,47
your mental health,AW35167700734,1502743102678,40
your physical fitness,AW35167700734,1502743102746,25
your physical safety and security,AW35167700734,1502743102820,38
your sense of connection with other people,AW35167700734,1502743102886,20
how happy you feel,AW14391948969,1493361360896,53
how much you like your home house or apartment,AW14391948969,1493361360963,46
how satisfied you are with your life,AW14391948969,1493361361060,50
the extent to which you feel the things you do in your life are worthwhile,AW14391948969,1493361361132,49
the quality of your sleep,AW14391948969,1493361361211,48
you being a good moral person and living according to your personal values,AW14391948969,1493361361272,69
you being able to spend enough time with the ones you love,AW14391948969,1493361361382,54
you being able to support your family financially,AW14391948969,1493361361491,39
you feeling that your work has value,AW14391948969,1493361361554,53
you not feeling anxious,AW14391948969,1493361361660,47
your emotional stability,AW14391948969,1493361361780,53
your health,AW14391948969,1493361361855,57
your knowledge skills and access to information,AW14391948969,1493361361931,69
your mental health,AW14391948969,1493361362034,67
your physical fitness,AW14391948969,1493361362118,48
your physical safety and security,AW14391948969,1493361362191,64
your sense of connection with other people,AW14391948969,1493361362283,43
how happy you feel,AW66605441796,1502336122880,27
how much you like your home house or apartment,AW66605441796,1502336122942,32
how satisfied you are with your life,AW66605441796,1502336123035,24
the extent to which you feel the things you do in your life are worthwhile,AW66605441796,1502336123104,30
the quality of your sleep,AW66605441796,1502336123219,26
you being a good moral person and living according to your personal values,AW66605441796,1502336123306,50
you being able to spend enough time with the ones you love,AW66605441796,1502336123387,29
you being able to support your family financially,AW66605441796,1502336123503,21
you feeling that your work has value,AW66605441796,1502336123570,34
you not feeling anxious,AW66605441796,1502336123677,9
your emotional stability,AW66605441796,1502336123751,29
your health,AW66605441796,1502336123819,34
your knowledge skills and access to information,AW66605441796,1502336123884,50
your mental health,AW66605441796,1502336123973,36
your physical fitness,AW66605441796,1502336124050,31
your physical safety and security,AW66605441796,1502336124111,44
your sense of connection with other people,AW66605441796,1502336124184,24
how happy you feel,AW11407426600,1500059009024,51
how much you like your home house or apartment,AW11407426600,1500059009141,50
how satisfied you are with your life,AW11407426600,1500059009230,44
the extent to which you feel the things you do in your life are worthwhile,AW11407426600,1500059009294,55
the quality of your sleep,AW11407426600,1500059009397,56
you being a good moral person and living according to your personal values,AW11407426600,1500059009510,69
you being able to spend enough time with the ones you love,AW11407426600,1500059009611,60
you being able to support your family financially,AW11407426600,1500059009689,46
you feeling that your work has value,AW11407426600,1500059009766,51
you not feeling anxious,AW11407426600,1500059009838,45
your emotional stability,AW11407426600,1500059009957,54
your health,AW11407426600,1500059010037,56
your knowledge skills and access to information,AW11407426600,1500059010134,67
your mental health,AW11407426600,1500059010218,60
your physical fitness,AW11407426600,1500059010318,45
your physical safety and security,AW11407426600,1500059010417,63
your sense of connection with other people,AW11407426600,1500059010509,49
how happy you feel,AW14676415968,1482626957312,56
how much you like your home house or apartment,AW14676415968,1482626957418,63
how satisfied you are with your life,AW14676415968,1482626957495,60
the extent to which you feel the things you do in your life are worthwhile,AW14676415968,1482626957557,65
the quality of your sleep,AW14676415968,1482626957637,59
you being a good moral person and living according to your personal values,AW14676415968,1482626957738,70
you being able to spend enough time with the ones you love,AW14676415968,1482626957812,51
you being able to support your family financially,AW14676415968,1482626957887,50
you feeling that your work has value,AW14676415968,1482626958003,56
you not feeling anxious,AW14676415968,1482626958085,39
your emotional stability,AW14676415968,1482626958193,60
your health,AW14676415968,1482626958290,66
your knowledge skills and access to information,AW14676415968,1482626958355,64
your mental health,AW14676415968,1482626958448,64
your physical fitness,AW14676415968,1482626958529,59
your physical safety and security,AW14676415968,1482626958612,67
your sense of connection with other people,AW14676415968,1482626958714,55
how happy you feel,AW37637282089,1502492098560,36
how much you like your home house or apartment,AW37637282089,1502492098652,34
how satisfied you are with your life,AW37637282089,1502492098724,38
the extent to which you feel the things you do in your life are worthwhile,AW37637282089,1502492098812,38
the quality of your sleep,AW37637282089,1502492098892,30
you being a good moral person and living according to your personal values,AW37637282089,1502492098974,50
you being able to spend enough time with the ones you love,AW37637282089,1502492099058,36
you being able to support your family financially,AW37637282089,1502492099141,30
you feeling that your work has value,AW37637282089,1502492099215,31
you not feeling anxious,AW37637282089,1502492099280,18
your emotional stability,AW37637282089,1502492099353,37
your health,AW37637282089,1502492099439,42
your knowledge skills and access to information,AW37637282089,1502492099557,53
your mental health,AW37637282089,1502492099653,37
your physical fitness,AW37637282089,1502492099754,30
your physical safety and security,AW37637282089,1502492099843,46
your sense of connection with other people,AW37637282089,1502492099914,30
how happy you feel,AW45924979624,1493319286784,48
how much you like your home house or apartment,AW45924979624,1493319286867,46
how satisfied you are with your life,AW45924979624,1493319286942,54
the extent to which you feel the things you do in your life are worthwhile,AW45924979624,1493319287051,53
the quality of your sleep,AW45924979624,1493319287159,45
you being a good moral person and living according to your personal values,AW45924979624,1493319287269,64
you being able to spend enough time with the ones you love,AW45924979624,1493319287339,54
you being able to support your family financially,AW45924979624,1493319287432,43
you feeling that your work has value,AW45924979624,1493319287501,50
you not feeling anxious,AW45924979624,1493319287592,36
your emotional stability,AW45924979624,1493319287655,49
your health,AW45924979624,1493319287773,57
your knowledge skills and access to information,AW45924979624,1493319287865,63
your mental health,AW45924979624,1493319287979,52
your physical fitness,AW45924979624,1493319288056,44
your physical safety and security,AW45924979624,1493319288127,61
your sense of connection with other people,AW45924979624,1493319288247,49
how happy you feel,AW5141221325,1493310636032,63
how much you like your home house or apartment,AW5141221325,1493310636093,67
how satisfied you are with your life,AW5141221325,1493310636179,57
the extent to which you feel the things you do in your life are worthwhile,AW5141221325,1493310636290,62
the quality of your sleep,AW5141221325,1493310636398,63
you being a good moral person and living according to your personal values,AW5141221325,1493310636504,74
you being able to spend enough time with the ones you love,AW5141221325,1493310636587,65
you being able to support your family financially,AW5141221325,1493310636663,55
you feeling that your work has value,AW5141221325,1493310636736,61
you not feeling anxious,AW5141221325,1493310636813,49
your emotional stability,AW5141221325,1493310636903,64
your health,AW5141221325,1493310636965,61
your knowledge skills and access to information,AW5141221325,1493310637063,72
your mental health,AW5141221325,1493310637175,67
your physical fitness,AW5141221325,1493310637270,53
your physical safety and security,AW5141221325,1493310637355,72
your sense of connection with other people,AW5141221325,1493310637435,57
how happy you feel,AW57947393006,1483314429952,38
how much you like your home house or apartment,AW57947393006,1483314430058,38
how satisfied you are with your life,AW57947393006,1483314430137,46
the extent to which you feel the things you do in your life are worthwhile,AW57947393006,1483314430255,41
the quality of your sleep,AW57947393006,1483314430326,33
you being a good moral person and living according to your personal values,AW57947393006,1483314430394,58
you being able to spend enough time with the ones you love,AW57947393006,1483314430478,36
you being able to support your family financially,AW57947393006,1483314430597,27
you feeling that your work has value,AW57947393006,1483314430701,38
you not feeling anxious,AW57947393006,1483314430817,25
your emotional stability,AW57947393006,1483314430894,37
your health,AW57947393006,1483314431004,44
your knowledge skills and access to information,AW57947393006,1483314431106,52
your mental health,AW57947393006,1483314431202,47
your physical fitness,AW57947393006,1483314431266,36
your physical safety and security,AW57947393006,1483314431356,50
your sense of connection with other people,AW57947393006,1483314431445,29
how happy you feel,AW17016467693,1502280024064,34
how much you like your home house or apartment,AW17016467693,1502280024146,35
how satisfied you are with your life,AW17016467693,1502280024258,32
the extent to which you feel the things you do in your life are worthwhile,AW17016467693,1502280024363,41
the quality of your sleep,AW17016467693,1502280024477,29
you being a good moral person and living according to your personal values,AW17016467693,1502280024570,54
you being able to spend enough time with the ones you love,AW17016467693,1502280024646,44
you being able to support your family financially,AW17016467693,1502280024714,22
you feeling that your work has value,AW17016467693,1502280024833,32
you not feeling anxious,AW17016467693,1502280024930,19
your emotional stability,AW17016467693,1502280024991,38
your health,AW17016467693,1502280025077,46
your knowledge skills and access to information,AW17016467693,1502280025144,52
your mental health,AW17016467693,1502280025252,44
your physical fitness,AW17016467693,1502280025342,34
your physical safety and security,AW17016467693,1502280025448,50
your sense of connection with other people,AW17016467693,1502280025510,34
how happy you feel,AW57722753180,1483295424512,47
how much you like your home house or apartment,AW57722753180,1483295424617,48
how satisfied you are with your life,AW57722753180,1483295424691,41
the extent to which you feel the things you do in your life are worthwhile,AW57722753180,1483295424788,50
the quality of your sleep,AW57722753180,1483295424906,57
you being a good moral person and living according to your personal values,AW57722753180,1483295424979,64
you being able to spend enough time with the ones you love,AW57722753180,1483295425067,56
you being able to support your family financially,AW57722753180,1483295425149,32
you feeling that your work has value,AW57722753180,1483295425214,44
you not feeling anxious,AW57722753180,1483295425323,43
your emotional stability,AW57722753180,1483295425437,59
your health,AW57722753180,1483295425524,52
your knowledge skills and access to information,AW57722753180,1483295425608,67
your mental health,AW57722753180,1483295425698,58
your physical fitness,AW57722753180,1483295425779,43
your physical safety and security,AW57722753180,1483295425874,62
your sense of connection with other people,AW57722753180,1483295425941,40
how happy you feel,AW47464228731,1502330748928,58
how much you like your home house or apartment,AW47464228731,1502330748999,57
how satisfied you are with your life,AW47464228731,1502330749116,51
the extent to which you feel the things you do in your life are worthwhile,AW47464228731,1502330749235,60
the quality of your sleep,AW47464228731,1502330749345,60
you being a good moral person and living according to your personal values,AW47464228731,1502330749441,76
you being able to spend enough time with the ones you love,AW47464228731,1502330749539,65
you being able to support your family financially,AW47464228731,1502330749629,46
you feeling that your work has value,AW47464228731,1502330749714,60
you not feeling anxious,AW47464228731,1502330749793,52
your emotional stability,AW47464228731,1502330749862,58
your health,AW47464228731,1502330749922,61
your knowledge skills and access to information,AW47464228731,1502330749997,73
your mental health,AW47464228731,1502330750105,64
your physical fitness,AW47464228731,1502330750178,56
your physical safety and security,AW47464228731,1502330750265,72
your sense of connection with other people,AW47464228731,1502330750380,54
how happy you feel,AW40822802345,1495812800512,71
how much you like your home house or apartment,AW40822802345,1495812800597,74
how satisfied you are with your life,AW40822802345,1495812800699,69
the extent to which you feel the things you do in your life are worthwhile,AW40822802345,1495812800764,68
the quality of your sleep,AW40822802345,1495812800857,67
you being a good moral person and living according to your personal values,AW40822802345,1495812800968,83
you being able to spend enough time with the ones you love,AW40822802345,1495812801045,77
you being able to support your family financially,AW40822802345,1495812801143,64
you feeling that your work has value,AW40822802345,1495812801261,69
you not feeling anxious,AW40822802345,1495812801376,60
your emotional stability,AW40822802345,1495812801456,75
your health,AW40822802345,1495812801543,74
your knowledge skills and access to information,AW40822802345,1495812801660,81
your mental health,AW40822802345,1495812801776,75
your physical fitness,AW40822802345,1495812801840,61
your physical safety and security,AW40822802345,1495812801916,81
your sense of connection with other people,AW40822802345,1495812802022,71
how happy you feel,AW22294130211,1482542022656,29
how much you like your home house or apartment,AW22294130211,1482542022764,32
how satisfied you are with your life,AW22294130211,1482542022876,31
the extent to which you feel the things you do in your life are worthwhile,AW22294130211,1482542022974,34
the quality of your sleep,AW22294130211,1482542023056,33
you being a good moral person and living according to your personal values,AW22294130211,1482542023129,52
you being able to spend enough time with the ones you love,AW22294130211,1482542023233,33
you being able to support your family financially,AW22294130211,1482542023294,20
you feeling that your work has value,AW22294130211,1482542023362,32
you not feeling anxious,AW22294130211,1482542023434,13
your emotional stability,AW22294130211,1482542023540,34
your health,AW22294130211,1482542023611,37
your knowledge skills and access to information,AW22294130211,1482542023676,51
your mental health,AW22294130211,1482542023791,42
your physical fitness,AW22294130211,1482542023900,29
your physical safety and security,AW22294130211,1482542023991,50
your sense of connection with other people,AW22294130211,1482542024102,24
how happy you feel,AW35282295059,1501535666176,10
how much you like your home house or apartment,AW35282295059,1501535666274,6
how satisfied you are with your life,AW35282295059,1501535666350,7
the extent to which you feel the things you do in your life are worthwhile,AW35282295059,1501535666412,17
the quality of your sleep,AW35282295059,1501535666489,8
you being a good moral person and living according to your personal values,AW35282295059,1501535666598,33
you being able to spend enough time with the ones you love,AW35282295059,1501535666713,15
you being able to support your family financially,AW35282295059,1501535666794,5
you feeling that your work has value,AW35282295059,1501535666873,4
you not feeling anxious,AW35282295059,1501535666940,0
your emotional stability,AW35282295059,1501535667060,16
your health,AW35282295059,1501535667124,22
your knowledge skills and access to information,AW35282295059,1501535667210,36
your mental health,AW35282295059,1501535667315,20
your physical fitness,AW35282295059,1501535667410,11
your physical safety and security,AW35282295059,1501535667483,33
your sense of connection with other people,AW35282295059,1501535667571,6
how happy you feel,AW2928611716,1482380541952,60
how much you like your home house or apartment,AW2928611716,1482380542070,69
how satisfied you are with your life,AW2928611716,1482380542144,64
the extent to which you feel the things you do in your life are worthwhile,AW2928611716,1482380542244,65
the quality of your sleep,AW2928611716,1482380542317,54
you being a good moral person and living according to your personal values,AW2928611716,1482380542399,71
you being able to spend enough time with the ones you love,AW2928611716,1482380542489,54
you being able to support your family financially,AW2928611716,1482380542552,58
you feeling that your work has value,AW2928611716,1482380542660,56
you not feeling anxious,AW2928611716,1482380542759,40
your emotional stability,AW2928611716,1482380542856,61
your health,AW2928611716,1482380542925,61
your knowledge skills and access to information,AW2928611716,1482380543042,68
your mental health,AW2928611716,1482380543123,54
your physical fitness,AW2928611716,1482380543234,50
your physical safety and security,AW2928611716,1482380543341,68
your sense of connection with other people,AW2928611716,1482380543421,53
how happy you feel,AW34473965719,1502509400064,41
how much you like your home house or apartment,AW34473965719,1502509400140,42
how satisfied you are with your life,AW34473965719,1502509400217,37
the extent to which you feel the things you do in your life are worthwhile,AW34473965719,1502509400329,46
the quality of your sleep,AW34473965719,1502509400399,47
you being a good moral person and living according to your personal values,AW34473965719,1502509400515,69
you being able to spend enough time with the ones you love,AW34473965719,1502509400607,51
you being able to support your family financially,AW34473965719,1502509400696,30
you feeling that your work has value,AW34473965719,1502509400769,40
you not feeling anxious,AW34473965719,1502509400830,34
your emotional stability,AW34473965719,1502509400935,51
your health,AW34473965719,1502509401007,52
your knowledge skills and access to information,AW34473965719,1502509401067,63
your mental health,AW34473965719,1502509401177,60
your physical fitness,AW34473965719,1502509401244,42
your physical safety and security,AW34473965719,1502509401345,58
your sense of connection with other people,AW34473965719,1502509401410,37
how happy you feel,AW47128939530,1482482253824,27
how much you like your home house or apartment,AW47128939530,1482482253907,36
how satisfied you are with your life,AW47128939530,1482482253987,31
the extent to which you feel the things you do in your life are worthwhile,AW47128939530,1482482254094,38
the quality of your sleep,AW47128939530,1482482254165,30
you being a good moral person and living according to your personal values,AW47128939530,1482482254234,50
you being able to spend enough time with the ones you love,AW47128939530,1482482254330,39
you being able to support your family financially,AW47128939530,1482482254434,24
you feeling that your work has value,AW47128939530,1482482254504,28
you not feeling anxious,AW47128939530,1482482254612,18
your emotional stability,AW47128939530,1482482254672,41
your health,AW47128939530,1482482254785,38
your knowledge skills and access to information,AW47128939530,1482482254905,54
your mental health,AW47128939530,1482482255007,37
your physical fitness,AW47128939530,1482482255110,29
your physical safety and security,AW47128939530,1482482255191,43
your sense of connection with other people,AW47128939530,1482482255296,27
how happy you feel,AW41214802924,1483430952960,100
how much you like your home house or apartment,AW41214802924,1483430953055,100
how satisfied you are with your life,AW41214802924,1483430953137,100
the extent to which you feel the things you do in your life are worthwhile,AW41214802924,1483430953212,100
the quality of your sleep,AW41214802924,1483430953327,98
you being a good moral person and living according to your personal values,AW41214802924,1483430953388,100
you being able to spend enough time with the ones you love,AW41214802924,1483430953451,100
you being able to support your family financially,AW41214802924,1483430953537,100
you feeling that your work has value,AW41214802924,1483430953601,100
you not feeling anxious,AW41214802924,1483430953674,100
your emotional stability,AW41214802924,1483430953742,100
your health,AW41214802924,1483430953855,100
your knowledge skills and access to information,AW41214802924,1483430953924,100
your mental health,AW41214802924,1483430954004,100
your physical fitness,AW41214802924,1483430954118,93
your physical safety and security,AW41214802924,1483430954211,100
your sense of connection with other people,AW41214802924,1483430954311,99
how happy you feel,AW608736841,1482465345536,73
how much you like your home house or apartment,AW608736841,1482465345651,77
how satisfied you are with your life,AW608736841,1482465345743,85
the extent to which you feel the things you do in your life are worthwhile,AW608736841,1482465345859,71
the quality of your sleep,AW608736841,1482465345947,63
you being a good moral person and living according to your personal values,AW608736841,1482465346017,68
you being able to spend enough time with the ones you love,AW608736841,1482465346116,63
you being able to support your family financially,AW608736841,1482465346225,78
you feeling that your work has value,AW608736841,1482465346305,71
you not feeling anxious,AW608736841,1482465346418,44
your emotional stability,AW608736841,1482465346526,65
your health,AW608736841,1482465346589,70
your knowledge skills and access to information,AW608736841,1482465346676,58
your mental health,AW608736841,1482465346754,57
your physical fitness,AW608736841,1482465346860,64
your physical safety and security,AW608736841,1482465346964,71
your sense of connection with other people,AW608736841,1482465347071,50
how happy you feel,AW22015680550,1482561683456,82
how much you like your home house or apartment,AW22015680550,1482561683570,87
how satisfied you are with your life,AW22015680550,1482561683635,79
the extent to which you feel the things you do in your life are worthwhile,AW22015680550,1482561683702,83
the quality of your sleep,AW22015680550,1482561683804,75
you being a good moral person and living according to your personal values,AW22015680550,1482561683920,85
you being able to spend enough time with the ones you love,AW22015680550,1482561684017,82
you being able to support your family financially,AW22015680550,1482561684122,74
you feeling that your work has value,AW22015680550,1482561684220,75
you not feeling anxious,AW22015680550,1482561684301,67
your emotional stability,AW22015680550,1482561684363,82
your health,AW22015680550,1482561684426,84
your knowledge skills and access to information,AW22015680550,1482561684515,83
your mental health,AW22015680550,1482561684616,87
your physical fitness,AW22015680550,1482561684707,71
your physical safety and security,AW22015680550,1482561684807,84
your sense of connection with other people,AW22015680550,1482561684895,78
how happy you feel,AW35057909333,1482480812032,100
how much you like your home house or apartment,AW35057909333,1482480812138,100
how satisfied you are with your life,AW35057909333,1482480812207,100
the extent to which you feel the things you do in your life are worthwhile,AW35057909333,1482480812268,96
the quality of your sleep,AW35057909333,1482480812359,91
you being a good moral person and living according to your personal values,AW35057909333,1482480812467,97
you being able to spend enough time with the ones you love,AW35057909333,1482480812543,95
you being able to support your family financially,AW35057909333,1482480812638,94
you feeling that your work has value,AW35057909333,1482480812752,99
you not feeling anxious,AW35057909333,1482480812822,82
your emotional stability,AW35057909333,1482480812931,93
your health,AW35057909333,1482480813033,95
your knowledge skills and access to information,AW35057909333,1482480813115,93
your mental health,AW35057909333,1482480813209,98
your physical fitness,AW35057909333,1482480813324,84
your physical safety and security,AW35057909333,1482480813402,92
your sense of connection with other people,AW35057909333,1482480813522,94
how happy you feel,AW50444858103,1502378459136,66
how much you like your home house or apartment,AW50444858103,1502378459226,66
how satisfied you are with your life,AW50444858103,1502378459317,64
the extent to which you feel the things you do in your life are worthwhile,AW50444858103,1502378459434,56
the quality of your sleep,AW50444858103,1502378459500,65
you being a good moral person and living according to your personal values,AW50444858103,1502378459581,71
you being able to spend enough time with the ones you love,AW50444858103,1502378459695,66
you being able to support your family financially,AW50444858103,1502378459775,55
you feeling that your work has value,AW50444858103,1502378459846,69
you not feeling anxious,AW50444858103,1502378459916,54
your emotional stability,AW50444858103,1502378459980,67
your health,AW50444858103,1502378460077,67
your knowledge skills and access to information,AW50444858103,1502378460196,73
your mental health,AW50444858103,1502378460301,68
your physical fitness,AW50444858103,1502378460421,57
your physical safety and security,AW50444858103,1502378460514,72
your sense of connection with other people,AW50444858103,1502378460577,52
how happy you feel,AW34390490702,1483203411968,84
how much you like your home house or apartment,AW34390490702,1483203412031,83
how satisfied you are with your life,AW34390490702,1483203412132,78
the extent to which you feel the things you do in your life are worthwhile,AW34390490702,1483203412227,85
the quality of your sleep,AW34390490702,1483203412347,89
you being a good moral person and living according to your personal values,AW34390490702,1483203412415,92
you being able to spend enough time with the ones you love,AW34390490702,1483203412527,94
you being able to support your family financially,AW34390490702,1483203412630,63
you feeling that your work has value,AW34390490702,1483203412713,83
you not feeling anxious,AW34390490702,1483203412797,87
your emotional stability,AW34390490702,1483203412859,88
your health,AW34390490702,1483203412958,85
your knowledge skills and access to information,AW34390490702,1483203413077,93
your mental health,AW34390490702,1483203413193,100
your physical fitness,AW34390490702,1483203413254,74
your physical safety and security,AW34390490702,1483203413367,88
your sense of connection with other people,AW34390490702,1483203413477,82
how happy you feel,AW2703332749,1495831281664,46
how much you like your home house or apartment,AW2703332749,1495831281775,48
how satisfied you are with your life,AW2703332749,1495831281878,52
the extent to which you feel the things you do in your life are worthwhile,AW2703332749,1495831281968,53
the quality of your sleep,AW2703332749,1495831282088,52
you being a good moral person and living according to your personal values,AW2703332749,1495831282205,65
you being able to spend enough time with the ones you love,AW2703332749,1495831282288,54
you being able to support your family financially,AW2703332749,1495831282350,43
you feeling that your work has value,AW2703332749,1495831282426,44
you not feeling anxious,AW2703332749,1495831282536,40
your emotional stability,AW2703332749,1495831282634,53
your health,AW2703332749,1495831282701,55
your knowledge skills and access to information,AW2703332749,1495831282814,62
your mental health,AW2703332749,1495831282879,56
your physical fitness,AW2703332749,1495831282995,42
your physical safety and security,AW2703332749,1495831283114,63
your sense of connection with other people,AW2703332749,1495831283175,39
how happy you feel,AW9003697019,1482554212352,70
how much you like your home house or apartment,AW9003697019,1482554212428,77
how satisfied you are with your life,AW9003697019,1482554212494,70
the extent to which you feel the things you do in your life are worthwhile,AW9003697019,1482554212597,76
the quality of your sleep,AW9003697019,1482554212658,82
you being a good moral person and living according to your personal values,AW9003697019,1482554212748,88
you being able to spend enough time with the ones you love,AW9003697019,1482554212859,83
you being able to support your family financially,AW9003697019,1482554212943,62
you feeling that your work has value,AW9003697019,1482554213058,78
you not feeling anxious,AW9003697019,1482554213160,79
your emotional stability,AW9003697019,1482554213258,80
your health,AW9003697019,1482554213322,76
your knowledge skills and access to information,AW9003697019,1482554213438,85
your mental health,AW9003697019,1482554213530,87
your physical fitness,AW9003697019,1482554213640,65
your physical safety and security,AW9003697019,1482554213731,85
your sense of connection with other people,AW9003697019,1482554213814,74
how happy you feel,AW47048901175,1502426300416,89
how much you like your home house or apartment,AW47048901175,1502426300481,94
how satisfied you are with your life,AW47048901175,1502426300577,95
the extent to which you feel the things you do in your life are worthwhile,AW47048901175,1502426300653,88
the quality of your sleep,AW47048901175,1502426300769,79
you being a good moral person and living according to your personal values,AW47048901175,1502426300862,85
you being able to spend enough time with the ones you love,AW47048901175,1502426300950,78
you being able to support your family financially,AW47048901175,1502426301029,95
you feeling that your work has value,AW47048901175,1502426301144,84
